product_name,current_stock,optimized_order_qty,stock_out_risk_before,stock_out_risk_after
Item_10822,117,1144,8.44,0.78
Item_82978,45,393,8.4,0.86
Item_71694,51,491,8.32,0.78
Item_70021,68,1021,8.26,0.52
Item_71693,104,1035,8.26,0.75
Item_71607,31,298,8.21,0.77
Item_77493,69,950,8.16,0.55
Item_69602,104,1600,8.16,0.5
Item_95164,50,680,8.16,0.56
Item_13274,84,724,8.12,0.84
Item_7021,34,332,8.12,0.75
Item_56785,117,1596,8.07,0.55
Item_84799,101,1320,8.07,0.57
Item_17991,90,1368,8.04,0.5
Item_78443,72,685,8.0,0.76
Item_94384,97,805,7.99,0.86
Item_67639,60,819,7.97,0.54
Item_99087,62,949,7.97,0.49
Item_84430,109,940,7.96,0.83
Item_47185,44,437,7.94,0.73
